l,t,freq,S21
1,0.2,2,-0.026002349
1,0.2,2.1,-0.028462991
1,0.2,2.2,-0.031018705
1,0.2,2.3,-0.033666687
1,0.2,2.4,-0.03640416
1,0.2,2.5,-0.039228385
1,0.2,2.6,-0.042136684
1,0.2,2.7,-0.045126444
1,0.2,2.8,-0.048195138
1,0.2,2.9,-0.051340334
1,0.2,3,-0.054559706
1,0.2,3.1,-0.05785105
1,0.2,3.2,-0.061212287
1,0.2,3.3,-0.064641476
1,0.2,3.4,-0.06813682
1,0.2,3.5,-0.071696675
1,0.2,3.6,-0.075319552
1,0.2,3.7,-0.079004122
1,0.2,3.8,-0.082749221
1,0.2,3.9,-0.086553849
1,0.2,4,-0.090417172
1,0.2,4.1,-0.09433852
1,0.2,4.2,-0.098317388
1,0.2,4.3,-0.102353429
1,0.2,4.4,-0.106446451
1,0.2,4.5,-0.110596415
1,0.2,4.6,-0.114803424
1,0.2,4.7,-0.11906772
1,0.2,4.8,-0.123389672
1,0.2,4.9,-0.12776977
1,0.2,5,-0.132208615
1,0.2,5.1,-0.136706908
1,0.2,5.2,-0.141265441
1,0.2,5.3,-0.145885083
1,0.2,5.4,-0.150566771
1,0.2,5.5,-0.155311498
1,0.2,5.6,-0.160120299
1,0.2,5.7,-0.164994244
1,0.2,5.8,-0.169934418
1,0.2,5.9,-0.174941919
1,0.2,6,-0.180017838
1,0.2,6.1,-0.185163252
1,0.2,6.2,-0.190379214
1,0.2,6.3,-0.19566674
1,0.2,6.4,-0.201026799
1,0.2,6.5,-0.206460306
1,0.2,6.6,-0.211968112
1,0.2,6.7,-0.217550997
1,0.2,6.8,-0.223209661
1,0.2,6.9,-0.228944717
1,0.2,7,-0.234756688
1,0.2,7.1,-0.240645999
1,0.2,7.2,-0.246612972
1,0.2,7.3,-0.252657823
1,0.2,7.4,-0.258780657
1,0.2,7.5,-0.264981461
1,0.2,7.6,-0.271260102
1,0.2,7.7,-0.277616322
1,0.2,7.8,-0.284049724
1,0.2,7.9,-0.290559768
1,0.2,8,-0.297145755
1,0.2,8.1,-0.303806805
1,0.2,8.2,-0.310541831
1,0.2,8.3,-0.317349502
1,0.2,8.4,-0.324228192
1,0.2,8.5,-0.331175904
1,0.2,8.6,-0.33819018
1,0.2,8.7,-0.345267972
1,0.2,8.8,-0.352405476
1,0.2,8.9,-0.359597919
1,0.2,9,-0.366839302
1,0.2,9.1,-0.374122095
1,0.2,9.2,-0.381436912
1,0.2,9.3,-0.388772227
1,0.2,9.4,-0.396114237
1,0.2,9.5,-0.403447046
1,0.2,9.6,-0.410753457
1,0.2,9.7,-0.418016637
1,0.2,9.8,-0.425222888
1,0.2,9.9,-0.432365367
1,0.2,10,-0.439447986
1,0.2,10.1,-0.44648803
1,0.2,10.2,-0.453515798
1,0.2,10.3,-0.460570392
1,0.2,10.4,-0.467692527
1,0.2,10.5,-0.474916888
1,0.2,10.6,-0.482266773
1,0.2,10.7,-0.489752423
1,0.2,10.8,-0.497372634
1,0.2,10.9,-0.505118144
1,0.2,11,-0.512975281
1,0.2,11.1,-0.520928905
1,0.2,11.2,-0.528964369
1,0.2,11.3,-0.537068567
1,0.2,11.4,-0.545230354
1,0.2,11.5,-0.553440555
1,0.2,11.6,-0.561691786
1,0.2,11.7,-0.569978186
1,0.2,11.8,-0.578295145
1,0.2,11.9,-0.586639057
1,0.2,12,-0.595007103
1,0.2,12.1,-0.603397084
1,0.2,12.2,-0.611807277
1,0.2,12.3,-0.620236333
1,0.2,12.4,-0.628683195
1,0.2,12.5,-0.637147028
1,0.2,12.6,-0.64562718
1,0.2,12.7,-0.654123141
1,0.2,12.8,-0.662634517
1,0.2,12.9,-0.671161013
1,0.2,13,-0.679702414
1,0.2,13.1,-0.688258582
1,0.2,13.2,-0.696829445
1,0.2,13.3,-0.705414992
1,0.2,13.4,-0.714015276
1,0.2,13.5,-0.722630414
1,0.2,13.6,-0.731260583
1,0.2,13.7,-0.739906028
1,0.2,13.8,-0.748567065
1,0.2,13.9,-0.757244081
1,0.2,14,-0.765937544
1,0.2,14.1,-0.774648008
1,0.2,14.2,-0.783376115
1,0.2,14.3,-0.792122604
1,0.2,14.4,-0.800888317
1,0.2,14.5,-0.809674204
1,0.2,14.6,-0.81848133
1,0.2,14.7,-0.827310881
1,0.2,14.8,-0.83616417
1,0.2,14.9,-0.845042641
1,0.2,15,-0.853947877
1,0.2,15.1,-0.862881601
1,0.2,15.2,-0.871845682
1,0.2,15.3,-0.880842139
1,0.2,15.4,-0.889873141
1,0.2,15.5,-0.89894101
1,0.2,15.6,-0.908048224
1,0.2,15.7,-0.917197412
1,0.2,15.8,-0.926391356
1,0.2,15.9,-0.93563299
1,0.2,16,-0.944925391
1,0.3,2,-0.028470095
1,0.3,2.1,-0.030902269
1,0.3,2.2,-0.03340662
1,0.3,2.3,-0.035982219
1,0.3,2.4,-0.038628412
1,0.3,2.5,-0.041344769
1,0.3,2.6,-0.044131046
1,0.3,2.7,-0.046987137
1,0.3,2.8,-0.049913046
1,0.3,2.9,-0.052908857
1,0.3,3,-0.055974706
1,0.3,3.1,-0.059110766
1,0.3,3.2,-0.062317226
1,0.3,3.3,-0.065594281
1,0.3,3.4,-0.068942117
1,0.3,3.5,-0.072360908
1,0.3,3.6,-0.075850804
1,0.3,3.7,-0.079411928
1,0.3,3.8,-0.083044376
1,0.3,3.9,-0.086748208
1,0.3,4,-0.090523452
1,0.3,4.1,-0.094370102
1,0.3,4.2,-0.098288116
1,0.3,4.3,-0.102277417
1,0.3,4.4,-0.106337896
1,0.3,4.5,-0.11046941
1,0.3,4.6,-0.114671785
1,0.3,4.7,-0.118944817
1,0.3,4.8,-0.123288275
1,0.3,4.9,-0.127701898
1,0.3,5,-0.132185403
1,0.3,5.1,-0.136738484
