"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4,0.2,2,-0.241300053580317
4,0.2,2.1,-0.265745810521323
4,0.2,2.2,-0.291584825468828
4,0.2,2.3,-0.318874692392681
4,0.2,2.4,-0.347679590045961
4,0.2,2.5,-0.37807114938318
4,0.2,2.6,-0.410129491654823
4,0.2,2.7,-0.443944465309102
4,0.2,2.8,-0.479617118448511
4,0.2,2.9,-0.517261454277033
4,0.2,3,-0.557006530522121
4,0.2,3.1,-0.598998981310789
4,0.2,3.2,-0.643406062946791
4,0.2,3.3,-0.690419355666311
4,0.2,3.4,-0.740259294947973
4,0.2,3.5,-0.793180763123986
4,0.2,3.6,-0.849480052261611
4,0.2,3.7,-0.909503624218581
4,0.2,3.8,-0.973659262448225
4,0.2,3.9,-1.04243046474204
4,0.2,4,-1.11639532350624
4,0.2,4.1,-1.19625178574547
4,0.2,4.2,-1.28285228516568
4,0.2,4.3,-1.37725272521425
4,0.2,4.4,-1.48078463564096
4,0.2,4.5,-1.59516740941337
4,0.2,4.6,-1.72269632714278
4,0.2,4.7,-1.86659149081367
4,0.2,4.8,-2.03174406317892
4,0.2,4.9,-2.22666035398527
4,0.2,5,-2.47015987455749
4,0.2,5.1,-2.82599392727911
4,0.2,5.2,-3.49515364103692
4,0.2,5.3,-3.05220612330409
4,0.2,5.4,-3.46060870539653
4,0.2,5.5,-4.05121233045204
4,0.2,5.6,-5.00597372100009
4,0.2,5.7,-5.47468806001793
4,0.2,5.8,-5.39942052234757
4,0.2,5.9,-6.69374490126081
4,0.2,6,-8.51914901786427
4,0.2,6.1,-11.322596965771
4,0.2,6.2,-16.2427974780139
4,0.2,6.3,-21.8345469844892
4,0.2,6.4,-14.1589691732744
4,0.2,6.5,-8.99574613419673
4,0.2,6.6,-5.85939346222591
4,0.2,6.7,-3.82638641238936
4,0.2,6.8,-2.49190769255248
4,0.2,6.9,-1.62485649212463
4,0.2,7,-1.07171479294652
4,0.2,7.1,-0.727001989945236
4,0.2,7.2,-0.51943709621592
4,0.2,7.3,-0.40191175656656
4,0.2,7.4,-0.343706128150028
4,0.2,7.5,-0.324856444854594
4,0.2,7.6,-0.332340546934223
4,0.2,7.7,-0.357596168145739
4,0.2,7.8,-0.394936813978681
4,0.2,7.9,-0.44054586390828
4,0.2,8,-0.491835782431304
4,0.2,8.1,-0.547036594230785
4,0.2,8.2,-0.604928741878096
4,0.2,8.3,-0.664667580713952
4,0.2,8.4,-0.725666646147489
4,0.2,8.5,-0.787519063534891
4,0.2,8.6,-0.849944020628221
4,0.2,8.7,-0.912749915376313
4,0.2,8.8,-0.975808738252219
4,0.2,8.9,-1.03903812067781
4,0.2,9,-1.10238868865461
4,0.2,9.1,-1.16583515615239
4,0.2,9.2,-1.22937013875487
4,0.2,9.3,-1.29300008281874
4,0.2,9.4,-1.35674310922224
4,0.2,9.5,-1.4206291738053
4,0.2,9.6,-1.48470430897257
4,0.2,9.7,-1.5490446129413
4,0.2,9.8,-1.61379660803288
4,0.2,9.9,-1.67922925359537
4,0.2,10,-1.74377442890815
4,0.2,10.1,-1.80476370078092
4,0.2,10.2,-1.86980659071692
4,0.2,10.3,-1.93564509254043
4,0.2,10.4,-2.00177069214328
4,0.2,10.5,-2.06821593075293
4,0.2,10.6,-2.13503463669602
4,0.2,10.7,-2.20227256444548
4,0.2,10.8,-2.2699694108349
4,0.2,10.9,-2.33816141397972
4,0.2,11,-2.40688291084474
4,0.2,11.1,-2.47616723140849
4,0.2,11.2,-2.54604723730163
4,0.2,11.3,-2.61655567165918
4,0.2,11.4,-2.68772540647114
4,0.2,11.5,-2.75958963280568
4,0.2,11.6,-2.83218201854701
4,0.2,11.7,-2.9055368475313
4,0.2,11.8,-2.97968914821142
4,0.2,11.9,-3.05467481680999
4,0.2,12,-3.13053073812331
4,0.2,12.1,-3.20729490609702
4,0.2,12.2,-3.28500654567928
4,0.2,12.3,-3.3637062370898
4,0.2,12.4,-3.44343604342659
4,0.2,12.5,-3.52423964240635
4,0.2,12.6,-3.60616246296859
4,0.2,12.7,-3.68925182744758
4,0.2,12.8,-3.77355710001783
4,0.2,12.9,-3.85912984214201
4,0.2,13,-3.9460239757919
4,0.2,13.1,-4.03429595526752
4,0.2,13.2,-4.12400494851254
4,0.2,13.3,-4.21521302890828
4,0.2,13.4,-4.3079853786313
4,0.2,13.5,-4.40239050477679
4,0.2,13.6,-4.4985004695879
4,0.2,13.7,-4.59639113628874
4,0.2,13.8,-4.69614243220044
4,0.2,13.9,-4.79783863102871
4,0.2,14,-4.90156865645119
4,0.2,14.1,-5.00742640940811
4,0.2,14.2,-5.11551112181739
4,0.2,14.3,-5.22592773979966
4,0.2,14.4,-5.33878733991936
4,0.2,14.5,-5.45420758243432
4,0.2,14.6,-5.57231320610753
4,0.2,14.7,-5.69323656978818
4,0.2,14.8,-5.81711824672452
4,0.2,14.9,-5.94410767845622
4,0.2,15,-6.07436389616454
4,0.2,15.1,-6.2080563185673
4,0.2,15.2,-6.34536563686878
4,0.2,15.3,-6.48648479894958
4,0.2,15.4,-6.63162010696723
4,0.2,15.5,-6.78099244489545
4,0.2,15.6,-6.93483865534222
4,0.2,15.7,-7.09341308835249
4,0.2,15.8,-7.25698934895481
4,0.2,15.9,-7.42586227509474
4,0.2,16,-7.60035018354541
4,0.3,2,-0.200667301918196
4,0.3,2.1,-0.220482403388855
4,0.3,2.2,-0.241420916434446
4,0.3,2.3,-0.263514531588718
4,0.3,2.4,-0.286797639852751
4,0.3,2.5,-0.311307668340655
4,0.3,2.6,-0.337085434664682
4,0.3,2.7,-0.364175527371253
4,0.3,2.8,-0.392626719538126
4,0.3,2.9,-0.422492422795694
4,0.3,3,-0.453831189493551
4,0.3,3.1,-0.486707271476384
4,0.3,3.2,-0.521191244958793
4,0.3,3.3,-0.557360712314017
4,0.3,3.4,-0.595301093249409
4,0.3,3.5,-0.635106519881466
4,0.3,3.6,-0.67688085271402
4,0.3,3.7,-0.720738837553601
4,0.3,3.8,-0.766807427082069
4,0.3,3.9,-0.815227295294902
4,0.3,4,-0.866154578492514
4,0.3,4.1,-0.919762883220272
4,0.3,4.2,-0.976245609797373
4,0.3,4.3,-1.03581865024781
